"","Class","case","fraction_total_reads","group","sex","sample"
"335","Bacilli","29.unmapped",0.001090147,"malt","fem","exo"
"336","Bacilli","19.unmapped",0.001060175,"control","male","exo"
"337","Bacilli","22.unmapped",0.000817825,"malt","male","exo"
"338","Bacilli","17.unmapped",0.000810117,"control","male","exo"
"339","Bacilli","20.unmapped",0.000659398,"control","male","exo"
"340","Bacilli","24.unmapped",0.000739039,"control","fem","exo"
"341","Bacilli","18.unmapped",0.000772438,"control","male","exo"
"342","Bacilli","25.unmapped",0.001423272,"control","fem","exo"
"343","Bacilli","27.unmapped",0.000977964,"malt","fem","exo"
"344","Bacilli","23.unmapped",0.000221797,"malt","male","exo"
"345","Bacilli","18.unmapped",0.002105791,"control","male","exo"
"346","Bacilli","25.unmapped",0.00085893,"control","fem","exo"
"347","Bacilli","21.unmapped",0.001865154,"malt","male","exo"
"348","Bacilli","17.unmapped",0.001603964,"control","male","exo"
"349","Bacilli","24.unmapped",0.00125885,"control","fem","exo"
"350","Bacilli","19.unmapped",0.000890615,"control","male","exo"
"351","Bacilli","29.unmapped",0.001860872,"malt","fem","exo"
"352","Bacilli","23.unmapped",0.000370804,"malt","male","exo"
"353","Bacilli","27.unmapped",0.001344487,"malt","fem","exo"
"354","Bacilli","20.unmapped",0.001127827,"control","male","exo"
"355","Bacilli","28.unmapped",0.002170018,"malt","fem","exo"
"356","Bacilli","22.unmapped",0.001986757,"malt","male","exo"
"357","Bacilli","26.unmapped",0.000751028,"control","fem","exo"
"358","Bacilli","25.unmapped",0.000333981,"control","fem","exo"
"359","Bacilli","20.unmapped",0.000296301,"control","male","exo"
"360","Bacilli","24.unmapped",0.000215803,"control","fem","exo"
"361","Bacilli","18.unmapped",0.000117321,"control","male","exo"
"362","Bacilli","28.unmapped",0.000416191,"malt","fem","exo"
"363","Bacilli","19.unmapped",0.000158427,"control","male","exo"
"364","Bacilli","21.unmapped",0.000337406,"malt","male","exo"
"365","Bacilli","17.unmapped",0.000240637,"control","male","exo"
"366","Bacilli","22.unmapped",6.34e-05,"malt","male","exo"
"367","Bacilli","29.unmapped",0.000419617,"malt","fem","exo"
"368","Bacilli","21.unmapped",0.000244063,"malt","male","exo"
"369","Bacilli","24.unmapped",0.000415335,"control","fem","exo"
"370","Bacilli","22.unmapped",0.000497546,"malt","male","exo"
"371","Bacilli","19.unmapped",0.000263759,"control","male","exo"
"372","Bacilli","25.unmapped",0.000412766,"control","fem","exo"
"373","Bacilli","17.unmapped",0.000761305,"control","male","exo"
"374","Bacilli","23.unmapped",8.14e-05,"malt","male","exo"
"375","Bacilli","26.unmapped",0.001070451,"control","fem","exo"
"376","Bacilli","28.unmapped",0.000425611,"malt","fem","exo"
"377","Bacilli","20.unmapped",0.000152432,"control","male","exo"
"378","Bacilli","27.unmapped",0.000254339,"malt","fem","exo"
"379","Bacilli","29.unmapped",0.000476993,"malt","fem","exo"
"380","Bacilli","18.unmapped",0.000676525,"control","male","exo"
