Phylum,Class,22.unmapped,27.unmapped,21.unmapped,24.unmapped,25.unmapped,28.unmapped,29.unmapped,23.unmapped,17.unmapped,26.unmapped,18.unmapped,19.unmapped,20.unmapped
Firmicutes,Clostridia,0.000178492,4.64E-05,0.000170273,0.000161812,3.35E-05,0.000132661,0,0.000335841,3.35E-05,7.85E-05,8.80E-05,0,9.34E-05
Bacteroidetes,Bacteroidia,0,0,6.39E-05,3.73E-05,0.000100588,0.000358185,1.53E-05,0,3.35E-05,0,0.000689696,2.74E-05,1.56E-05
Firmicutes,Clostridia,0,1.55E-05,1.06E-05,0,1.68E-05,0,0.000107106,0,0,0,0,0.00069908,0
Firmicutes,Clostridia,2.97E-05,0,0,0,0,0.000145927,1.53E-05,0,3.35E-05,0.000989446,0,8.22E-05,0
Firmicutes,Clostridia,1.49E-05,3.09E-05,1.06E-05,7.47E-05,1.68E-05,2.65E-05,0.000229512,1.34E-05,0.000134086,0.000204171,0.000293488,5.48E-05,0.000466868
Firmicutes,Clostridia,8.92E-05,4.64E-05,7.45E-05,0.000136918,8.38E-05,0.000119395,0,4.03E-05,3.35E-05,0.000204171,0.000102721,8.22E-05,0.000233434
Firmicutes,Clostridia,0.000163617,9.27E-05,0.00010642,0.000149365,8.38E-05,7.96E-05,0.000122407,0.000134336,6.70E-05,6.28E-05,0.000132069,1.37E-05,4.67E-05
Firmicutes,Clostridia,2.97E-05,0,0,0,0,9.29E-05,1.53E-05,0,3.35E-05,0.000989446,0,2.74E-05,0
Firmicutes,Erysipelotrichia,5.95E-05,3.09E-05,0.000159631,4.98E-05,0.000134118,3.98E-05,0.000107106,2.69E-05,3.35E-05,6.28E-05,4.40E-05,4.11E-05,0.000357932
Verrucomicrobia,Subdivision5,4.46E-05,3.09E-05,1.06E-05,8.71E-05,0.000368824,9.29E-05,0.000443724,0.000107469,0.000100565,0.000266993,0.000190767,0.000178197,0.000108936
Firmicutes,Clostridia,5.95E-05,0.000386387,0,0,0.000100588,9.29E-05,3.06E-05,2.69E-05,0,0,0.000308162,0.000274149,0
Firmicutes,Negativicutes,0.000252863,0,0.00062788,0,0,0,0,0.000120903,0,0,0,0.000507176,0
Bacteroidetes,Bacteroidia,0,7.73E-05,0,1.24E-05,0,7.96E-05,0,0,0,1.57E-05,0,0,0
Firmicutes,Clostridia,1.49E-05,0.000231832,7.45E-05,0,0,9.29E-05,0.000290715,0.000134336,0.000134086,3.14E-05,0,9.60E-05,1.56E-05
Bacteroidetes,Bacteroidia,0.000193366,9.27E-05,9.58E-05,0.000136918,0,1.33E-05,3.06E-05,0.000268673,8.38E-05,7.85E-05,4.40E-05,0,0.000280121
Firmicutes,Clostridia,0.000133869,7.73E-05,0,0,0.000217942,6.63E-05,0.000198911,1.34E-05,0.000117326,4.71E-05,0.000146744,5.48E-05,9.34E-05
Bacteroidetes,Bacteroidia,1.49E-05,1.55E-05,0,0.000112024,0.000100588,0.00017246,1.53E-05,0,0,0,0.000220116,5.48E-05,4.67E-05
Firmicutes,NA,0,0,8.51E-05,0,0,2.65E-05,0,0.000416443,0,0,0,8.22E-05,6.22E-05
Bacteroidetes,Bacteroidia,4.46E-05,7.73E-05,1.06E-05,0,0,0,0,0,0,0,0,0,0
Bacteroidetes,Bacteroidia,0.000148743,4.64E-05,2.13E-05,0.000560119,8.38E-05,0.000145927,1.53E-05,4.03E-05,5.03E-05,0.000188466,0.000117395,4.11E-05,4.67E-05
NA,NA,5.95E-05,3.09E-05,4.26E-05,0,0.000251471,0.000809233,0.000153008,0,0.000117326,7.85E-05,0.000102721,5.48E-05,0
Bacteroidetes,Bacteroidia,0.00055035,6.18E-05,0.000148988,7.47E-05,0,3.98E-05,7.65E-05,0.000228372,0,0.000266993,0,0,6.22E-05
Firmicutes,Bacilli,0,3.09E-05,0.000148988,7.47E-05,5.03E-05,0,1.53E-05,0,0.000117326,0.000455459,2.93E-05,0.000315271,0
Firmicutes,Negativicutes,0.000609847,4.64E-05,5.32E-05,8.71E-05,6.71E-05,0,0,2.69E-05,0,1.57E-05,5.87E-05,4.11E-05,0
Firmicutes,Erysipelotrichia,0.000163617,3.09E-05,0.000244767,0.000124471,6.71E-05,3.98E-05,0,0.000470177,0.000100565,0.000125644,4.40E-05,5.48E-05,9.34E-05
Firmicutes,Clostridia,0.000133869,0.000185466,0.000117062,0,1.68E-05,7.96E-05,0.000260114,9.40E-05,0.000150847,3.14E-05,0,8.22E-05,0
Firmicutes,Clostridia,4.46E-05,0.000108188,0,0.000124471,1.68E-05,0.000159193,0.000244813,0,0,6.28E-05,0,0,0
Firmicutes,Clostridia,7.44E-05,3.09E-05,4.26E-05,0,0,5.31E-05,4.59E-05,0.000268673,0.00020113,3.14E-05,0.000513603,2.74E-05,0.000248996
Firmicutes,Clostridia,7.44E-05,3.09E-05,0,4.98E-05,0.000217942,5.31E-05,9.18E-05,1.34E-05,1.68E-05,7.85E-05,0.000102721,2.74E-05,7.78E-05
Spirochaetes,Spirochaetia,0.00020824,0.000401842,1.06E-05,4.98E-05,0.000100588,0.000225524,3.06E-05,5.37E-05,0.000502824,0.000549692,0,0.000164489,0
Firmicutes,Erysipelotrichia,0.000118994,6.18E-05,0.000138346,0.000186706,5.03E-05,5.31E-05,4.59E-05,9.40E-05,0.00020113,0.000219877,4.40E-05,9.60E-05,0.000124498
